Source,Target,Group
87,123,2
275,220,1C
275,220,1C
275,220,1C
322,311,1A
322,311,1A
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
322,311,1A
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
266,322,1C
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
311,322,1D
271,287,1B
271,287,1B
287,271,1A
287,271,1A
287,73,1A
287,73,1A
287,136,1A
287,271,1A
73,287,2
73,136,2
143,287,2
143,287,2
8,244,1D
8,143,1D
8,287,1D
8,244,1D
8,143,1D
8,287,1D
8,244,1D
8,287,1D
8,244,1D
8,287,1D
287,8,1A
287,244,1A
8,287,1D
175,242,1A
175,188,1A
175,188,1A
61,98,2
61,98,2
61,98,2
61,98,2
61,98,2
306,98,1B
37,98,1B
37,98,1B
37,98,1B
37,98,1B
230,302,1A
302,230,2
302,230,2
302,230,2
302,230,2
302,230,2
302,230,2
230,302,1A
302,230,2
302,230,2
302,230,2
302,230,2
302,230,2
302,230,2
230,27,1A
302,230,2
302,230,2
302,230,2
302,230,2
302,230,2
302,230,2
302,230,2
302,230,2
302,230,2
302,230,2
302,230,2
302,230,2
230,302,1A
230,302,1A
230,302,1A
230,86,1A
230,71,1A
86,230,2
86,71,2
86,230,2
230,86,1A
86,230,2
86,71,2
52,230,1C
52,112,1C
167,320,1A
167,320,1A
320,167,1D
320,167,1D
320,167,1D
167,320,1A
320,167,1D
320,167,1D
318,167,2
318,320,2
320,167,1D
320,318,1D
320,167,1D
318,167,2
318,320,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,320,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,57,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,320,2
318,167,2
318,257,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
318,167,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
173,108,2
58,172,1A
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
184,99,1C
184,193,1C
184,193,1C
184,193,1C
184,193,1C
184,193,1C
184,193,1C
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,184,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
184,193,1C
184,193,1C
184,193,1C
184,193,1C
184,193,1C
184,193,1C
184,99,1C
184,193,1C
184,193,1C
184,193,1C
184,193,1C
184,193,1C
184,193,1C
99,184,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
99,193,1D
184,193,1C
184,193,1C
184,193,1C
184,193,1C
184,193,1C
184,193,1C
184,99,1C
184,193,1C
184,193,1C
184,193,1C
184,193,1C
184,193,1C
184,193,1C
184,99,1C
193,184,1A
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
176,178,2
166,44,1A
190,166,1A
3,40,1D
3,44,1D
3,166,1D
3,123,1D
166,190,1A
135,258,1D
135,296,1D
135,296,1D
135,296,1D
135,296,1D
135,296,1D
135,296,1D
135,296,1D
135,296,1D
135,296,1D
135,296,1D
135,203,1D
258,39,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,284,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
258,296,2
284,258,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,39,2
284,258,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,39,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,296,2
284,39,2
284,258,2
258,296,2
258,296,2
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
4,62,1A
4,298,1A
4,128,1A
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
4,62,1A
4,62,1A
298,4,1C
298,4,1C
298,4,1C
298,4,1C
298,4,1C
298,4,1C
298,4,1C
298,4,1C
298,4,1C
298,4,1C
298,128,1C
292,4,2
292,62,2
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,4,1B
62,249,1B
4,182,1A
4,302,1A
4,316,1A
62,4,1B
139,4,1D
139,4,1D
139,4,1D
139,4,1D
139,4,1D
139,4,1D
139,4,1D
139,4,1D
139,4,1D
139,4,1D
292,4,2
292,4,2
292,4,2
292,4,2
292,4,2
292,4,2
292,4,2
292,4,2
292,4,2
292,4,2
292,62,2
292,4,2
292,62,2
62,4,1B
292,4,2
316,4,2
316,292,2
316,4,2
292,4,2
292,4,2
292,302,2
292,4,2
292,4,2
292,302,2
316,4,2
316,302,2
292,4,2
292,62,2
292,4,2
292,4,2
292,316,2
292,4,2
316,4,2
292,4,2
292,302,2
316,292,2
316,4,2
316,4,2
292,4,2
316,4,2
316,4,2
62,4,1B
316,4,2
292,4,2
292,302,2
292,4,2
292,4,2
292,316,2
292,4,2
292,4,2
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
64,24,1A
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
172,64,2
172,64,2
172,64,2
172,64,2
172,64,2
172,64,2
172,64,2
172,64,2
172,64,2
172,64,2
172,64,2
172,64,2
172,64,2
172,64,2
172,64,2
172,64,2
172,64,2
24,64,2
24,64,2
24,64,2
24,64,2
24,64,2
24,64,2
24,64,2
24,64,2
24,64,2
24,64,2
24,64,2
24,64,2
24,64,2
24,64,2
24,64,2
24,64,2
24,64,2
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
132,64,1C
64,132,1A
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
64,132,1A
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
279,64,2
101,64,2
202,64,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
179,36,1B
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
127,242,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
127,36,2
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
242,36,1C
142,36,2
142,242,2
242,36,1C
142,36,2
142,242,2
242,36,1C
142,36,2
142,242,2
142,36,2
142,242,2
242,36,1C
251,44,1D
251,44,1D
251,44,1D
251,44,1D
213,44,2
213,44,2
213,44,2
213,44,2
213,44,2
213,44,2
213,44,2
213,44,2
166,44,1A
166,44,1A
166,44,1A
166,44,1A
89,213,1C
89,44,1C
89,44,1C
89,44,1C
89,44,1C
293,44,2
293,44,2
293,44,2
293,44,2
3,40,1D
3,44,1D
3,166,1D
3,44,1D
3,123,1D
3,283,1D
3,166,1D
3,123,1D
44,166,1A
239,44,2
239,44,2
293,44,2
289,255,2
289,255,2
289,255,2
289,255,2
289,255,2
289,255,2
214,255,1B
214,255,1B
214,255,1B
255,289,1A
255,289,1A
263,255,1D
263,255,1D
263,255,1D
263,255,1D
263,255,1D
263,255,1D
263,255,1D
263,255,1D
263,255,1D
263,255,1D
289,255,2
289,255,2
289,255,2
263,255,1D
263,255,1D
263,255,1D
179,106,1B
179,106,1B
179,106,1B
179,106,1B
179,106,1B
179,106,1B
179,106,1B
179,106,1B
179,106,1B
179,106,1B
179,106,1B
179,106,1B
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
106,193,1A
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
93,106,1C
50,106,1C
50,106,1C
50,106,1C
50,106,1C
50,106,1C
50,106,1C
50,106,1C
50,106,1C
50,106,1C
50,106,1C
50,106,1C
50,106,1C
219,95,1C
219,189,1C
285,125,2
282,97,2
97,282,1C
200,217,1A
175,242,1A
175,188,1A
175,188,1A
139,54,1D
190,166,1A
166,190,1A
191,190,1C
273,190,2
4,280,1A
4,280,1A
4,280,1A
4,280,1A
4,280,1A
4,280,1A
4,280,1A
4,280,1A
4,280,1A
229,280,2
229,280,2
229,280,2
229,280,2
16,280,1B
229,280,2
229,280,2
229,280,2
229,280,2
229,280,2
229,280,2
229,280,2
229,280,2
9,280,2
9,177,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
9,280,2
83,223,2
83,223,2
83,223,2
83,223,2
83,223,2
83,223,2
83,223,2
83,223,2
83,223,2
83,223,2
83,223,2
83,223,2
83,223,2
83,223,2
83,223,2
83,223,2
114,27,1A
232,39,2
276,107,1A
245,276,1D
245,107,1D
245,276,1D
17,276,1D
17,276,1D
17,245,1D
245,276,1D
228,276,2
245,276,1D
245,276,1D
228,276,2
245,276,1D
228,276,2
276,17,1A
245,276,1D
245,276,1D
245,276,1D
245,276,1D
245,276,1D
228,276,2
228,276,2
228,276,2
228,276,2
228,276,2
245,276,1D
225,303,1A
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
225,303,1A
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
225,303,1A
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
185,225,1C
185,225,1C
185,225,1C
185,225,1C
185,225,1C
185,225,1C
185,225,1C
185,225,1C
185,225,1C
185,225,1C
225,303,1A
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
225,303,1A
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
225,303,1A
225,303,1A
225,303,1A
225,303,1A
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
303,225,1C
225,33,1A
225,33,1A
33,225,2
225,33,1A
225,33,1A
225,303,1A
33,225,2
33,225,2
93,154,1C
89,131,1C
243,131,2
243,213,2
243,131,2
243,89,2
243,131,2
243,213,2
243,131,2
213,243,2
213,89,2
213,131,2
243,131,2
243,89,2
243,131,2
243,131,2
131,243,1B
89,131,1C
131,89,1B
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
36,179,1A
